  GMT_timestamp, AFM_MET_time, AFM_upp_time, AFM_mode, AFM_fdir_imu_fail_flag, AFM_fdir_gps_fail_flag, AFM_fdir_star_tracker_fail_flag, AFM_fdir_strike_count_imu, AFM_fdir_strike_count_gps, AFM_fdir_strike_count_star_tracker, AFM_fdir_num_resets_imu, AFM_fdir_num_resets_gps, AFM_fdir_num_resets_star_tracker, AFM_fdir_loss_of_imu, AFM_fdir_loss_of_gps, AFM_fdir_loss_of_star_tracker, CNTRL_mass_total, CNTRL_mass_prop_used, CNTRL_jet_on_times_0, CNTRL_jet_on_times_1, CNTRL_jet_on_times_2, CNTRL_jet_on_times_3, CNTRL_jet_on_times_4, CNTRL_jet_on_times_5, CNTRL_jet_on_times_6, DIO_powerOut_star_tracker, DIO_powerOut_gps, DIO_powerOut_imu, DIO_powerOut_pgnc_sys, DIO_chuteOut_super_drogue_deploy, DIO_chuteOut_parafoil_deploy, UPP_ecef_longitude, UPP_ecef_gd_latitude, UPP_ecef_gd_altitude, UPP_esef_ground_ref_0_R_sc_cg_wrt_gp_ECEF_0, UPP_esef_ground_ref_0_R_sc_cg_wrt_gp_ECEF_1, UPP_esef_ground_ref_0_R_sc_cg_wrt_gp_ECEF_2, UPP_ecef_V_sc_cg_wrt_ecef_0, UPP_ecef_V_sc_cg_wrt_ecef_1, UPP_ecef_V_sc_cg_wrt_ecef_2, UPP_ecef_DV_accum_imu_ecef_0, UPP_ecef_DV_accum_imu_ecef_1, UPP_ecef_DV_accum_imu_ecef_2, UPP_esef_flight_path_angle, UPP_rot_Q_INRTL_to_STRUCT_RAW_s, UPP_rot_Q_INRTL_to_STRUCT_RAW_v_0, UPP_rot_Q_INRTL_to_STRUCT_RAW_v_1, UPP_rot_Q_INRTL_to_STRUCT_RAW_v_2, UPP_rot_T_INRTL_to_ECEF_0_0, UPP_rot_T_INRTL_to_ECEF_0_1, UPP_rot_T_INRTL_to_ECEF_0_2, UPP_rot_T_INRTL_to_ECEF_1_0, UPP_rot_T_INRTL_to_ECEF_1_1, UPP_rot_T_INRTL_to_ECEF_1_2, UPP_rot_T_INRTL_to_ECEF_2_0, UPP_rot_T_INRTL_to_ECEF_2_1, UPP_rot_T_INRTL_to_ECEF_2_2
16-015-08:36:21.3,13.812657,1072617256,2,0,0,0,0,0,0,0,0,0,0,0,0,79.49907684,11.92092037,0,0,0,0,0,0,0,1,1,1,0,0,0,2.935976743,0.875154753,153854.7197,-4105943.591,856349.7065,4991083.278,66.18805492,-7488.834115,1102.305297,0.274870427,-0.203852109,0.295150265,-0.023153035,0.456573968,0.045400516,-0.781416361,0.42292727,0.49161323,-0.870813366,-0.000716477,0.870812565,0.49161375,-0.00118223,0.001381731,-4.27171E-05,0.999999044
16-015-08:36:21.3,14.813375,1072617257,2,0,0,0,0,0,0,0,0,0,0,0,0,79.49907684,11.92092037,0,0,0,0,0,0,0,1,1,1,0,0,0,2.936850025,0.875302526,153768.6228,-4105910.86,852601.9739,4991635.261,68.57178788,-7489.440382,1098.726503,0.289061983,-0.21101707,0.302793024,-0.023145038,0.456369153,0.045518521,-0.781548728,0.422891056,0.491644997,-0.870795431,-0.00071652,0.87079463,0.491645518,-0.001182204,0.001381731,-4.27171E-05,0.999999044
16-015-08:36:22.3,14.813375,1072617257,2,0,0,0,0,0,0,0,0,0,0,0,0,79.49907684,11.92092037,0,0,0,0,0,0,0,1,1,1,0,0,0,2.937722177,0.875449696,153679.0442,-4105874.468,848859.7366,4992181.918,70.95179485,-7490.055141,1095.134227,0.300683856,-0.219620797,0.310844363,-0.023139159,0.456000916,0.045846331,-0.781670677,0.42302746,0.491676745,-0.870777506,-0.000716563,0.870776704,0.491677266,-0.001182178,0.001381731,-4.27171E-05,0.999999044
16-015-08:36:22.3,15.812778,1072617258,2,0,0,0,0,0,0,0,0,0,0,0,0,79.49907684,11.92092037,0,0,0,0,0,0,0,1,1,1,0,0,0,2.938594159,0.875596249,153591.5676,-4105838.803,845119.7875,4992727.488,73.34466718,-7490.657743,1091.544329,0.313110711,-0.225574016,0.320938809,-0.023134274,0.455761224,0.045976071,-0.781817328,0.423000678,0.491708486,-0.870759583,-0.000716606,0.870758781,0.491709007,-0.001182151,0.001381731,-4.27171E-05,0.999999044
16-015-08:36:23.3,15.812778,1072617258,2,0,0,0,0,0,0,0,0,0,0,0,0,79.49907684,11.92092037,0,0,0,0,0,0,0,1,1,1,0,0,0,2.939467974,0.875742685,153503.1276,-4105801.18,841373.0034,4993271.706,75.72160495,-7491.262961,1087.927665,0.323973619,-0.231560885,0.327130216,-0.023129806,0.455586519,0.045991113,-0.781960735,0.422922157,0.491740233,-0.870741655,-0.000716649,0.870740854,0.491740753,-0.001182125,0.001381731,-4.27171E-05,0.999999044
16-015-08:36:23.3,16.813261,1072617259,2,0,0,0,0,0,0,0,0,0,0,0,0,79.49907684,11.92092037,0,0,0,0,0,0,0,1,1,1,0,0,0,2.940385577,0.875895997,153411.4362,-4105760.932,837439.8262,4993842.04,78.21864187,-7491.924868,1084.143938,0.339588748,-0.239635748,0.334112255,-0.02312432,0.455325653,0.046129969,-0.78209341,0.422942637,0.491773572,-0.870722826,-0.000716694,0.870722025,0.491774092,-0.001182098,0.001381731,-4.27171E-05,0.999999044
16-015-08:36:24.3,16.813261,1072617259,2,0,0,0,0,0,0,0,0,0,0,0,0,79.49907684,11.92092037,0,0,0,0,0,0,0,1,1,1,0,0,0,2.941252365,0.876040366,153324.6774,-4105721.525,833725.5972,4994378.661,80.58798063,-7492.520292,1080.594999,0.353070541,-0.247072781,0.34331709,-0.023117218,0.455127917,0.046242139,-0.782222747,0.42290403,0.49180504,-0.870705053,-0.000716737,0.870704252,0.49180556,-0.001182072,0.001381731,-4.27171E-05,0.999999044
16-015-08:36:24.3,17.813142,1072617260,2,0,0,0,0,0,0,0,0,0,0,0,0,79.49907684,11.92092037,0,0,0,0,0,0,0,1,1,1,0,0,0,2.942127221,0.876185617,153237.298,-4105680.673,829977.9751,4994918.366,82.98716484,-7493.135281,1077.026311,0.367017853,-0.253847319,0.351085671,-0.023109728,0.454969711,0.046258731,-0.782364988,0.422809315,0.491836789,-0.870687119,-0.00071678,0.870686318,0.49183731,-0.001182046,0.001381731,-4.27171E-05,0.999999044
16-015-08:36:25.3,17.813142,1072617260,2,0,0,0,0,0,0,0,0,0,0,0,0,79.49907684,11.92092037,0,0,0,0,0,0,0,1,1,1,0,0,0,2.943001218,0.876330248,153150.1085,-4105638.791,826235.2086,4995455.512,85.36630567,-7493.727603,1073.451367,0.37741876,-0.260692127,0.36288018,-0.023101668,0.454747046,0.046364437,-0.782498713,0.422789815,0.491868501,-0.870669204,-0.000716823,0.870668403,0.491869022,-0.00118202,0.001381731,-4.27171E-05,0.999999044
16-015-08:36:25.3,18.812911,1072617261,2,0,0,0,0,0,0,0,0,0,0,0,0,79.49907684,11.92092037,0,0,0,0,0,0,0,1,1,1,0,0,0,2.943876546,0.876474615,153062.8924,-4105595.815,822487.9336,4995991.411,87.73572376,-7494.279606,1069.822712,0.389676288,-0.267632306,0.372630436,-0.023097051,0.454515,0.046527524,-0.782621367,0.422794395,0.491900251,-0.870651267,-0.000716866,0.870650466,0.491900771,-0.001181994,0.001381731,-4.27171E-05,0.999999044
